ItemNo,Description1,client,B408020,B193818
A-AG-GIFT,ของขวัญรีวิวให้ลูกค้า,DEFAULT,,
A-APEV-700W,ขวด PE EVE700ml ขาว,DEFAULT,50,
A-APKI-080F,ขวด Kirei 80ml ฟ้า,DEFAULT,250,50
A-APKI-080P,ขวด Kirei 80ml ชมพู,DEFAULT,250,50
A-APKI-300B,ขวด Kirei 350ml ดำ,DEFAULT,75,
A-APKI-300F,ขวด Kirei 350ml ฟ้า,DEFAULT,75,
A-APKI-300P,ขวด Kirei 350ml ชมพู,DEFAULT,75,
A-APKI-300W,ขวด Kirei 350ml ขาว,DEFAULT,75,
A-APLA-300W,ขวด PE LADY300ml ขาว,DEFAULT,100,
A-APPE-060W,ขวด PE 60 กรัม กลม ขาวขุ่น,DEFAULT,300,50
A-APPE-100B,ขวด PE 100 กรัม กลม ดำทึบ,DEFAULT,300,50
A-APPE-100W,ขวด PE 100 กรัม กลม ขาวขุ่น,DEFAULT,300,50
A-APPE-120W,ขวด PE 120 กรัม กลม ขาวขุ่น,DEFAULT,300,50
A-APPE-150W,ขวด PE 150 กรัม กลม ขาวขุ่น,DEFAULT,200,
A-APPE-200B,ขวด PE 200 กรัม กลม ดำทึบ,DEFAULT,150,
A-APPE-200W,ขวด PE 200 กรัม กลม ขาวขุ่น,DEFAULT,150,
A-APPE-250B,ขวด PE 250 กรัม กลม ดำทึบ,DEFAULT,150,
A-APPE-250W,ขวด PE 250 กรัม อ้วนกลมขาว,DEFAULT,150,
A-APPE-350W,ขวด PE 350 กรัม ขาวขุ่น,DEFAULT,78,
A-APPE-500B,ขวด PE 500 กรัม กลม ดำทึบ,DEFAULT,72,
A-APPE-500W,ขวด PE 500 กรัม กลม ขาวทึบ,DEFAULT,72,
A-APPESA-100W,ขวด PESA 100ml สีขาว,DEFAULT,150,
A-CHMD01-100W,ขวดยาเม็ด MD01-100CC ขาว สี่เหลี่ยม,DEFAULT,200,
A-CHMD03-100W,ขวดยาเม็ด MD03-100CC ขาว กลมใหญ่ไหล่ลาด,DEFAULT,150,
A-CHMF01-100W,ขวดยาเม็ด MF01-150ml กลมใหล่ลาดฝาฉีก คอ 40 สีขาว,DEFAULT,150,
A-CHMF02-100W,ขวดยาเม็ด MF02-100ml กลมใหล่ลาดฝาฉีก คอ 40 สีขาว,DEFAULT,200,
A-CHMF03-100W,ขวดยาเม็ด MF03-100ml กลม ฝาฉีก คอ 37 สีขาว,DEFAULT,200,
A-CHPP-030F,ขวดสบู่ 30 กรัม สีฟ้าใส คาดเงิน,DEFAULT,,100
A-CHPP-030G,ขวดสบู่ 30 กรัม สีเขียวใส คาดเงิน,DEFAULT,,100
A-CHPP-030Y,ขวดสบู่ 30 กรัม สีเหลืองใส คาดเงิน,DEFAULT,,100
A-CHPP-060C,ขวดสบู่ 60 กรัม สีใส,DEFAULT,,50
A-CHPP-060P,ขวดสบู่ 60 กรัม สีชมพูใส คาดเงิน,DEFAULT,,50
A-CHPP-120C,ขวดสบู่ 120 กรัม สีใส คาดเงิน,DEFAULT,150,
A-CHPP-120F,ขวดสบู่ 120 กรัม สีฟ้าใส คาดเงิน,DEFAULT,150,
A-CHPP-240W,ขวดสบู่ 240 กรัม (8อ.) สีขาว,DEFAULT,,
A-DDKR-100C,ขวด KR 100 ใส,DEFAULT,300,50
A-DPP180-C,ขวด PET รุ่น DPP 180ml สีใส ขวดพริกไทย (ฝา36mm),DEFAULT,100,
A-DPPcap-B,ฝา DPP พริกไทย (36mm) สีดำ,DEFAULT,150,
A-DPPcap-N,ฝา DPP พริกไทย (36mm) สีน้ำเงิน,DEFAULT,150,
A-DPPcap-R,ฝา DPP พริกไทย (36mm) สีแดง,DEFAULT,150,
A-DPR075-BR,ขวดPETกลมรุ่น DPR75ml สีน้ำตาลใส (ฝา33mm),DEFAULT,300,50
A-DPR075-N,ขวดPETกลมรุ่น DPR75ml สีน้ำเงินใส (ฝา33mm),DEFAULT,300,50
A-DPR075-P,ขวดPETกลมรุ่น DPR75ml สีชมพู (ฝา33mm),DEFAULT,300,50
A-DPR075-W,ขวดPETกลมรุ่น DPR75ml ขาวทึบ (ฝา33mm),DEFAULT,300,50
A-DPR120-BR,ขวดPETกลมรุ่น DPR120ml สีชา (ฝา38mm),DEFAULT,200,
A-DPR120-P,ขวดPETกลมรุ่น DPR120ml สีชมพู (ฝา38mm),DEFAULT,200,
A-DPR120-W,ขวดPETกลมรุ่น DPR120ml ขาว (ฝา38mm),DEFAULT,200,
A-DPR180-BR,ขวดPETกลมรุ่น DPR180ml สีชา (ฝา45mm),DEFAULT,100,
A-DPR220-BR,ขวดPETกลมรุ่น DPR220ml สีชา (ฝา45mm),DEFAULT,150,
A-DPR220-W,ขวดPETกลมรุ่น DPR220ml ขาว (ฝา45mm),DEFAULT,150,
A-DPR300-BR,ขวดPETกลมรุ่น DPR300ml สีชา (ฝา45mm),DEFAULT,50,
A-DR030-W,ขวดPEกลมรุ่น DR30ml ขาว (ฝา33mm),DEFAULT,,100
A-DR080-W,ขวดPEกลมรุ่น DR80ml ขาว (ฝา38mm),DEFAULT,,50
A-DR120-W,ขวดPEกลมรุ่น DR120ml ขาว (ฝา38mm),DEFAULT,100,
A-DR250-W,ขวดPEกลมรุ่น DR250ml ขาว (ฝา53mm),DEFAULT,75,
A-DS100-W,ขวดPEเหลี่ยมรุ่น DS100ml ขาว (ฝา33mm),DEFAULT,250,
A-DS155-W,ขวดPEเหลี่ยมรุ่น DS150ml ขาว (ฝา38mm),DEFAULT,150,
A-DS300-W,ขวดPEเหลี่ยมรุ่น DS300ml ขาว (ฝา45mm),DEFAULT,75,
A-DS-CFC1-38,ฝาฟลิบ CFC 38mm สีดำ,DEFAULT,,350
A-DS-CFC1-45,ฝาฟลิบ CFC 45mm สีดำ,DEFAULT,,300
A-DS-CFC2-38,ฝาฟลิบ CFC 38mm สีน้ำตาล GNC,DEFAULT,,350
A-DS-CFC2-45,ฝาฟลิบ CFC 45mm สีน้ำตาล GNC,DEFAULT,,300
A-DS-CFC5-38,ฝาฟลิบ CFC 38mm สีขาว,DEFAULT,,350
A-DS-CFC5-45,ฝาฟลิบ CFC 45mm สีขาว,DEFAULT,,300
A-DS-CFC6-38,ฝาฟลิบ CFC 38mm สีเขียว,DEFAULT,,350
A-DS-CFC6-45,ฝาฟลิบ CFC 45mm สีเขียว,DEFAULT,,300
A-DS-CFC7-38,ฝาฟลิบ CFC 38mm สีส้ม,DEFAULT,,350
A-DS-CFC7-45,ฝาฟลิบ CFC 45mm สีส้ม,DEFAULT,,300
A-DS-CFC8-38,ฝาฟลิบ CFC 38mm สีเหลือง,DEFAULT,,350
A-DS-CFC8-45,ฝาฟลิบ CFC 45mm สีเหลือง,DEFAULT,,300
A-DS-CFC9-45,ฝาฟลิบ CFC 45mm สีม่วง,DEFAULT,,300
A-DS-CKC1-45,ฝาเกลียว CKC 45mm สีดำ,DEFAULT,,350
A-DS-CLC2-38,ฝาฟลิบ CLC 38mm สีน้ำตาล GNC,DEFAULT,,600
A-DS-CLC2-45,ฝาฟลิบ CLC 45mm สีน้ำตาล GNC,DEFAULT,,300
A-DS-CRC1-33,ฝาล๊อก2ชั้น CRC 33mm สีดำ,DEFAULT,,350
A-DS-CRC1-38,ฝาล๊อก2ชั้น CRC 38mm สีดำ,DEFAULT,,300
A-DS-CRC1-45,ฝาล๊อก2ชั้น CRC 45mm สีดำ,DEFAULT,,200
A-DS-CRC2-33,ฝาล๊อก2ชั้น CRC 33mm สีน้ำตาล GNC,DEFAULT,,350
A-DS-CRC2-38,ฝาล๊อก2ชั้น CRC 38mm สีน้ำตาล GNC,DEFAULT,,300
A-DS-CRC2-45,ฝาล๊อก2ชั้น CRC 45mm สีน้ำตาล GNC,DEFAULT,,200
A-DS-CRC3-33,ฝาล๊อก2ชั้น CRC 33mm สีเทา,DEFAULT,,350
A-DS-CRC3-38,ฝาล๊อก2ชั้น CRC 38mm สีเทา,DEFAULT,,300
A-DS-CRC3-45,ฝาล๊อก2ชั้น CRC 45mm สีเทา,DEFAULT,,200
A-DS-CRC4-33,ฝาล๊อก2ชั้น CRC 33mm สีชมพู,DEFAULT,,350
A-DS-CRC4-38,ฝาล๊อก2ชั้น CRC 38mm สีชมพู,DEFAULT,,300
A-DS-CRC4-45,ฝาล๊อก2ชั้น CRC 45mm สีชมพู,DEFAULT,,200
A-DS-CRC5-33,ฝาล๊อก2ชั้น CRC 33mm สีขาว,DEFAULT,,350
A-DS-CRC5-38,ฝาล๊อก2ชั้น CRC 38mm สีขาว,DEFAULT,,300
A-DS-CRC5-45,ฝาล๊อก2ชั้น CRC 45mm สีขาว,DEFAULT,,200
A-DS-CRC5-53,ฝาล๊อก2ชั้น CRC 53mm สีขาว,DEFAULT,,200
A-DS-CRC7-33,ฝาล๊อก2ชั้น CRC 33mm สีทอง,DEFAULT,,350
A-DS-CRC7-38,ฝาล๊อก2ชั้น CRC 38mm สีทอง,DEFAULT,,300
A-DS-CRC7-45,ฝาล๊อก2ชั้น CRC 45mm สีทอง,DEFAULT,,200
A-DS-CRC8-38,ฝาล๊อก2ชั้น CRC 38mm สีเหลือง,DEFAULT,,300
A-DTC150-BR,ขวดPETกลมรุ่น DTC 150ml สีชา (ฝา45mm),DEFAULT,100,
A-DTC150-WT,ขวดPETกลมรุ่น DTC 150ml สีขาวทึบ (ฝา45mm),DEFAULT,100,
A-DTC200-BR,ขวดPETกลมรุ่น DTC 200ml สีชา,DEFAULT,100,
A-DTC200-WT,ขวดPETกลมรุ่น DTC 200ml สีขาวทึบ (ฝา45mm),DEFAULT,100,
A-DTC300-BR,ขวดPETกลมรุ่น DTC 300ml สีชา (ฝา45mm),DEFAULT,80,
A-DTC300-WT,ขวดPETกลมรุ่น DTC 300ml สีขาวทึบ (ฝา45mm),DEFAULT,80,
A-DTC-CAP45-W,ฝาฉีกขาด DTC 45mm สีขาว,DEFAULT,,150
A-FA23-040CF,ขวด FA23-40ML ใสฝ้า,DEFAULT,,100
A-FA23-100CF,ขวด FA23-100ML ใสฝ้า,DEFAULT,,50
A-FA23-150CF,ขวด FA23-150ML ใสฝ้า,DEFAULT,150,25
A-FA23-CAP150G,ฝาเกลียว FA23 (150ML) สีทอง,DEFAULT,,200
A-FA23-CAP150S,ฝาเกลียว FA23 (150ML) สีเงิน,DEFAULT,,200
A-FA23-COVER040G,ฝาครอบ FA23 (40ML) สีทอง,DEFAULT,,200
A-FA23-COVER040S,ฝาครอบ FA23 (40ML) สีเงิน,DEFAULT,,200
A-FA23-COVER100G,ฝาครอบ FA23 (100ML) สีทอง,DEFAULT,,150
A-FA23-COVER100S,ฝาครอบ FA23 (100ML) สีเงิน,DEFAULT,,150
A-FA23-JOOK150,จุกในขวด FA23 (150ML),DEFAULT,,800
A-FA23-PUMP040G,หัวปั๊ม FA23 (40ML) สีทอง,DEFAULT,,300
A-FA23-PUMP040S,หัวปั๊ม FA23 (40ML) สีเงิน,DEFAULT,,300
A-FA23-PUMP100G,หัวปั๊ม FA23 (100ML) สีทอง,DEFAULT,,150
A-FA23-PUMP100S,หัวปั๊ม FA23 (100ML) สีเงิน,DEFAULT,,150
A-GL-040CF,ตัวขวด GL 40ml ใสฝ้า,DEFAULT,,50
A-GL-100CF,ตัวขวด GL 100ml ใสฝ้า,DEFAULT,,40
A-GL-CAPSET100,ฝาเกลียว GL (100),DEFAULT,,100
A-GL-PUMPCover040,ฝาครอบปั๊ม GL (40),DEFAULT,,100
A-GL-PUMPCover100,ฝาครอบปั๊ม GL (100),DEFAULT,,50
A-GL-PUMPSET040,หัวปั๊ม GL (40),DEFAULT,,300
A-GL-PUMPSET100,หัวปั๊ม GL (100),DEFAULT,,200
A-GZ03-005CC,ขวดแก้ว GM 5ml ใสปิ๊ง เฉพาะขวด,DEFAULT,,400
A-GZ03-005CF,ขวดแก้ว GM 5ml ใสฝ้า เฉพาะขวด,DEFAULT,,400
A-GZ03-005TC,ขวดแก้ว GM 5ml ชาใส เฉพาะขวด,DEFAULT,,400
A-GZ03-005TF,ขวดแก้ว GM 5ml ชาฝ้า เฉพาะขวด,DEFAULT,,400
A-GZ03-010CC,ขวดแก้ว GM 10ml ใสปิ๊ง เฉพาะขวด,DEFAULT,,300
A-GZ03-010CF,ขวดแก้ว GM 10ml ใสฝ้า เฉพาะขวด,DEFAULT,,300
A-GZ03-010TC,ขวดแก้ว GM 10ml ชาใส เฉพาะขวด,DEFAULT,,300
A-GZ03-010TF,ขวดแก้ว GM 10ml ชาฝ้า เฉพาะขวด,DEFAULT,,300
A-GZ03-015CC,ขวดแก้ว GM 15ml ใสปิ๊ง เฉพาะขวด,DEFAULT,,200
A-GZ03-015CF,ขวดแก้ว GM 15ml ใสฝ้า เฉพาะขวด,DEFAULT,,200
A-GZ03-015TF,ขวดแก้ว GM 15ml ชาฝ้า เฉพาะขวด,DEFAULT,,200
A-GZ03-CAP01,ฝายางแบบยาวของขวดGM,DEFAULT,,500
A-GZ03-CAP02,ฝาล๊อคครอบของขวด GM,DEFAULT,,500
A-GZ03-CAP02IN,จุกยางฝาล๊อกครอบขวด GM,DEFAULT,,500
A-GZ03-Seal01G,เซตจุกฉีก (GM) สีทอง,DEFAULT,,500
A-GZ03-Seal01RG,เซตจุกฉีก (GM) สีทองแดง,DEFAULT,,500
A-GZ03-Seal01S,เซตจุกฉีก (GM) สีเงิน,DEFAULT,,500
A-GZ03-SealTool,เครื่องปิดจุกฉีก GM,DEFAULT,,4
A-GZ04-005C,ตัว Injection อินเจคชั่น 5ml,DEFAULT,,400
A-GZ04-005C-Center,แท่งแกน อินเจคชั่น (5ml),DEFAULT,,400
A-GZ04-010C,ตัว Injection อินเจคชั่น 10ml,DEFAULT,,300
A-GZ04-010C-Center,แท่งแกน อินเจคชั่น (10ml),DEFAULT,,400
A-GZ04-010C-SET,Injection อินเจคชั่น 10ml แท่งหลอดฉีดยา,DEFAULT,,400
A-GZ04-JooKW(5/10),หัวจุกขาว Injection (5/10ml),DEFAULT,,800
A-GZ05-005CC,ขวดแก้ว GS 5ml (14x55) สีใสปิ๊ง,DEFAULT,,600
A-GZ05-005CF,ขวดแก้ว GS 5ml (14x55) สีใสฝ้า,DEFAULT,,600
A-GZ05-005TC,ขวดแก้ว GS 5ml (14x55) สีชาใส,DEFAULT,,600
A-GZ05-010TC,ขวดแก้ว GS 10ml (14x86) สีชาใส,DEFAULT,,500
A-GZ05-SPGS005B,สเปรย์ SPGS (5ml) สีดำ,DEFAULT,,500
A-GZ05-SPGS005C,สเปรย์ SPGS (5ml) สีใส,DEFAULT,,500
A-GZ05-SPGS010B,สเปรย์ SPGS (10ml) สีดำ,DEFAULT,,500
A-GZ05-SPGS010C,สเปรย์ SPGS (10ml) สีใส,DEFAULT,,500
A-GZ10-015CF,ขวดแก้ว GF-15ml ใสฝ้า,DEFAULT,,150
A-GZ10-015TC,ขวดแก้ว GF-15ml ชาใส,DEFAULT,,150
A-GZ10-030CF,ขวดแก้ว GF-30ml ใสฝ้า,DEFAULT,,100
A-GZ10-030TC,ขวดแก้ว GF-30ml ชาใส,DEFAULT,,100
A-GZ10-060CF,ขวดแก้ว GF-60ml ใสฝ้า,DEFAULT,,25
A-GZ10-060TC,ขวดแก้ว GF-60ml ชาใส,DEFAULT,,25
A-GZ10-120CF,ขวดแก้ว GF-120ml ใสฝ้า,DEFAULT,100,20
A-GZ10-120TC,ขวดแก้ว GF-120ml ชาใส,DEFAULT,100,20
A-GZ10-PUMP015B,ปั๊มดำGF (15) คอ20,DEFAULT,,300
A-GZ10-PUMP030B,ปั๊มดำGF (30),DEFAULT,,300
A-GZ10-PUMP060B,ปั๊มดำGF (60),DEFAULT,,300
A-GZ10-PUMP120B,ปั๊มดำGF (120),DEFAULT,,300
A-GZ10-SPRAY015B18,สเปรย์ ดำGF (15) คอ18,DEFAULT,,300
A-GZ10-SPRAY015B20,สเปรย์ ดำGF (15) คอ20,DEFAULT,,300
A-GZ10-SPRAY030B,สเปรย์ ดำGF (30),DEFAULT,,300
A-GZ10-SPRAY060B,สเปรย์ ดำGF (60),DEFAULT,,300
A-GZ10-SPRAY120B,สเปรย์ ดำGF (120),DEFAULT,,300
A-GZ15-100CF,ขวดแก้ว GR 100ml สีใสฝ้า คอ24,DEFAULT,150,25
A-GZ15-120CF,ขวดแก้ว GR 120ml สีใสฝ้า คอ24,DEFAULT,150,25
A-GZ15-LS1002-01,แท่งลิบสติก LS1002-1 สีทอง,DEFAULT,,200
A-GZ15-LS1025-01,แท่งลิบสติก LS1025-1 สีแดง,DEFAULT,,200
A-GZ15-LS1025-02,แท่งลิบสติก LS1025-2 สีทอง,DEFAULT,,200
A-GZ15-LS1034-01,แท่งลิบสติก LS1034-1 สีแดง,DEFAULT,,200
A-GZ15-LS1034-02,แท่งลิบสติก LS1034-2 สีทอง,DEFAULT,,200
A-GZ15-LS217-01,แท่งลิบสติก LS217-1 สีดำ,DEFAULT,,200
A-GZ15-LY01-01,แท่งลิบสติก LY01-1 ลูบูแตง สีทอง,DEFAULT,,200
A-GZ15-LY02-01,แท่งลิบสติก LY02-1 ดิออร์ สีดำ,DEFAULT,,200
A-GZ15-LY04-01,แท่งลิบสติก LY04-1 Mac สีดำ,DEFAULT,,200
A-GZ15-LY07-01,แท่งลิบสติก LY07-1 เบาเบา สีทอง,DEFAULT,,200
A-GZ15-LY07-02,แท่งลิบสติก LY07-1 เบาเบา สีโรสโกลด์,DEFAULT,,200
A-GZ15-LY12-01,แท่งลิบสติก LY12-1 ซากุระ สีดำเงา,DEFAULT,,200
A-GZ15-LY12-02,แท่งลิบสติก LY12-1 ซากุระ สีดำด้าน,DEFAULT,,200
A-GZ15-LY12-03,แท่งลิบสติก LY12-1 ซากุระ สีขาวเงา,DEFAULT,,200
A-GZ15-LY18-01,แท่งลิบสติก LY18-1 เซเล่อมูน โรสโกลด์,DEFAULT,,200
A-GZ15-LY28-01,แท่งลิบสติก LY28-1 เอสเต้ สีน้ำเงินดำ,DEFAULT,,200
A-GZ15-LY34-01,แท่งลิบสติก LY34-1 ชาแนล สีดำ,DEFAULT,,200
A-GZ15-LY35-01,แท่งลิบสติก LY35-1 อีทูดี้ สีดำ,DEFAULT,,200
A-GZ15-LY35-02,แท่งลิบสติก LY35-2 อีทูดี้ สีชมพู,DEFAULT,,200
A-GZ15-LY37-01,แท่งลิบสติก LY37-1 สี่เหลี่ยม สีดำ,DEFAULT,,200
A-GZ15-LY80-01,แท่งลิบสติก LY80-1 สีดำ สองหัว,DEFAULT,,200
A-GZ15-SETLSLY-01,เซตแม่พิมพ์ลิบสติก LSLY No.1,DEFAULT,,300
A-GZ30-500CW,ขวด GZ30 แอลกฮอล์เหลว 500ML พร้อมหัวพ่น (SET),DEFAULT,,15
A-GZD02-0200C,ขวดน้ำยาล้างเล็บใส 200mlรุ่นปั๊มA ล๊อกซ้ายขวา,DEFAULT,,15
A-GZD09-200F,ขวดยาล้างเล็บ D9-200ML พีระมิด ฟ้า (ขวดพร้อมฝา),DEFAULT,,15
A-GZD09-200M,ขวดยาล้างเล็บ D9-200ML พีระมิด ม่วง (ขวดพร้อมฝา),DEFAULT,,15
A-GZD09-200P,ขวดยาล้างเล็บ D9-200ML พีระมิด ชมพู (ขวดพร้อมฝา),DEFAULT,,15
A-GZD09-200W,ขวดยาล้างเล็บ D9-200ML พีระมิด ขาว (ขวดพร้อมฝา),DEFAULT,,15
A-GZD10-210F,ขวดยาล้างเล็บ D10-210ML อีทูดี ฟ้า (ขวดพร้อมฝา),DEFAULT,,15
A-GZD10-210M,ขวดยาล้างเล็บ D10-210ML อีทูดี ม่วง (ขวดพร้อมฝา),DEFAULT,,15
A-GZD10-210P,ขวดยาล้างเล็บ D10-210ML อีทูดี ชมพู (ขวดพร้อมฝา),DEFAULT,,15
A-GZD10-210W,ขวดยาล้างเล็บ D10-210ML อีทูดี ขาว (ขวดพร้อมฝา),DEFAULT,,15
A-GZD18-225GR,ขวดยาล้างเล็บ D18-225ML หลุยส์ เขียว (ขวดพร้อมฝา),DEFAULT,,15
A-GZD18-225M,ขวดยาล้างเล็บ D18-225ML หลุยส์ ม่วง (ขวดพร้อมฝา),DEFAULT,,15
A-GZD18-225P,ขวดยาล้างเล็บ D18-225ML หลุยส์ ชมพู (ขวดพร้อมฝา),DEFAULT,,15
A-GZD18-225W,ขวดยาล้างเล็บ D18-225ML หลุยส์ ขาว (ขวดพร้อมฝา),DEFAULT,,15
A-GZD19-240F,ขวดยาล้างเล็บ D19-240ML บอลลูน ฟ้า (ขวดพร้อมฝา),DEFAULT,,15
A-GZD19-240GR,ขวดยาล้างเล็บ D19-240ML บอลลูน เขียว (ขวดพร้อมฝา),DEFAULT,,15
A-GZD19-240M,ขวดยาล้างเล็บ D19-240ML บอลลูน ม่วง  (ขวดพร้อมฝา),DEFAULT,,15
A-GZD19-240P,ขวดยาล้างเล็บ D19-240ML บอลลูน ชมพู (ขวดพร้อมฝา),DEFAULT,,15
A-GZD24-200K,ขวดยาล้างเล็บ D24-200ML คริสตัล ครีม (ขวดพร้อมฝา),DEFAULT,,15
A-GZD24-200P,ขวดยาล้างเล็บ D24-200ML คริสตัล ชมพู (ขวดพร้อมฝา),DEFAULT,,15
A-GZD24-200S,ขวดยาล้างเล็บ D24-200ML คริสตัล เทา (ขวดพร้อมฝา),DEFAULT,,15
A-GZD24-200W,ขวดยาล้างเล็บ D24-200ML คริสตัล ขาว (ขวดพร้อมฝา),DEFAULT,,15
A-GZMA-050CC,ขวด MA50 ใส,DEFAULT,300,100
A-GZMA-050CF,ขวด MA50 ใสฝ้า,DEFAULT,300,100
A-GZMA-050W,ขวด MA50 ขาว,DEFAULT,300,100
A-GZMA-120CC,ขวด MA120 ใส,DEFAULT,200,50
A-GZMA-120CF,ขวด MA120 ใสฝ้า,DEFAULT,200,50
A-GZMA-120W,ขวด MA120 ขาว,DEFAULT,200,50
A-GZMB-060T,ขวด MB60 น้ำตาล,DEFAULT,300,50
A-GZMB-060W,ขวด MB60 ขาว,DEFAULT,300,50
A-GZMB-075T,ขวด MB75 น้ำตาล,DEFAULT,300,50
A-GZMB-075W,ขวด MB75 ขาว,DEFAULT,300,50
A-GZMB-120T,ขวด MB120 น้ำตาล,DEFAULT,150,100
A-GZMB-120W,ขวด MB120 ขาว,DEFAULT,150,100
A-GZMC-030C,ขวด MC30 ใส,DEFAULT,100,100
A-GZMC-030CF,ขวด MC30 ใสพ่นฝ้า,DEFAULT,100,100
A-GZMC-030W,ขวด MC30 ขาว,DEFAULT,100,100
A-GZMC-100CF,ขวด MC100 ใสพ่นฝ้า,DEFAULT,200,50
A-GZMC-100W,ขวด MC100 ขาว,DEFAULT,200,50
A-GZMG-060BRF,ขวด MG 60ml น้ำตาลพ่นฝ้า,DEFAULT,,
A-GZMG-120BRF,ขวด MG 120ml น้ำตาลพ่นฝ้า,DEFAULT,150,50
A-GZMG-120CF,ขวด MG 120ml ใสพ่นฝ้า,DEFAULT,150,50
A-GZVC01-100C,ขวด VC01-100ml สีใส,DEFAULT,200,50
A-GZVC02-060C,ขวด VC02-60ml สีใส,DEFAULT,300,50
A-GZVC03-060W,ขวด VC03-60ml สีขาวทึบ,DEFAULT,300,50
A-GZVC04-030C,ขวด VC04-30ml สีใส (คอ18),DEFAULT,100,150
A-GZVC05-030C,(VC05) หลอดใส 30 กรัม (30x80),DEFAULT,,100
A-GZVC05-DZP30C,(VC05) ฝาหลอด Flip ได30 ใส,DEFAULT,,500
A-JNT2-025G,ขวด T2-25ml เขียว (เฉพาะขวด),DEFAULT,,150
A-JNT2-025N,ขวด T2-25ml น้ำเงิน (เฉพาะขวด),DEFAULT,,150
A-JNT2-025T,ขวด T2-25ml น้ำตาล (เฉพาะขวด),DEFAULT,,150
A-JNT2-025W,ขวด T2-25ml ขาว (เฉพาะขวด),DEFAULT,,150
A-JNT2-CapBR,ฝาของขวด T2 (น้ำตาล),DEFAULT,,500
A-JNT2-CapC,ฝาของขวด T2 (ใส),DEFAULT,,500
A-JNT2-CapW,ฝาของขวด T2 (ขาว),DEFAULT,,500
A-JS173-050C,ขวด PET C173A ใส 50ml,DEFAULT,,100
A-JS173-050W,ขวด PET C173A ขาว 50ml,DEFAULT,,100
A-JS189-300C,ขวด PET C189A ใส 300ml,DEFAULT,,75
A-JS244-300C,ขวด PET C244A ใส 300ml,DEFAULT,,50
A-KICA01-020B,ขวดการ์ดแบน CA01 20ml สีดำ,DEFAULT,,200
A-KICA01-020C,ขวดการ์ดแบน CA01 20ml สีใส,DEFAULT,,200
A-KICA01-020W,ขวดการ์ดแบน CA01 20ml สีขาว,DEFAULT,,200
A-KICA01-SPB,หัวสเปรย์ขวดการ์ด CA01 สีดำ,DEFAULT,,500
A-KICA01-SPC,หัวสเปรย์ขวดการ์ด CA01 สีใส,DEFAULT,,500
A-KICA01-SPW,หัวสเปรย์ขวดการ์ด CA01 สีขาว,DEFAULT,,500
A-KICA02-010B,ขวดการ์ดแบน CA02 10ml รุ่นมีล๊อก สีดำ,DEFAULT,,
A-KICA02-010W,ขวดการ์ดแบน CA02 10ml รุ่นมีล๊อก สีขาว,DEFAULT,,
A-KICA02-LOCKB,ตัวล๊อกขวดการ์ด CA02 สีดำ,DEFAULT,,
A-KICA02-LOCKW,ตัวล๊อกขวดการ์ด CA02 สีขาว,DEFAULT,,
A-KILG01-05CMableW,SET LG01 5ml ใสปิ๊งฝามาร์เบิ้ล,DEFAULT,,300
A-KILG01-05CMaple,SET LG01 5ml ใสปิ๊งฝาเมเปิ้ล,DEFAULT,,300
A-KILG01-05CMapling,SET LG01 5ml ใสปิ๊งฝามะปลิง,DEFAULT,,300
A-KILG01-05COak,SET LG01 5ml ใสปิ๊งฝาโอ๊ค,DEFAULT,,300
A-KILG01-05SETC,SET LG01 แท่งลิบมันใสปิ้ง 5ml (ประกอบชุดตัว+ฝา),DEFAULT,,300
A-KILG01-05Walnut,SET LG01 5ml ใสปิ๊งฝาวอลนัท,DEFAULT,,300
A-KILG01-Body05C,ตัวขวด LG01 แท่งลิบมันใสปิ้ง 5ml,DEFAULT,,300
A-KILG01-Body05W,ตัวขวด LG01 แท่งลิบมันขาวทึบ 5ml,DEFAULT,,300
A-KILG01-C05Oak,ฝา แท่งลิบมัน LG01 ลายไม้โอ๊ค,DEFAULT,,800
A-KILG01-C05Walnut,ฝา แท่งลิบมัน LG01 ลายไม้วอลนัท,DEFAULT,,800
A-KILG02-Body005C,ตัวขวด LG02 แท่งลิบมันใสขุ่น 5ml,DEFAULT,,300
A-KILG02-Body005W,ตัวขวด LG02 แท่งลิบมันขาวทึบ 5ml,DEFAULT,,300
A-KILG02-CAP005C,ฝา แท่งลิบมัน LG02 ใสขุ่น 5ml,DEFAULT,,800
A-KILG02-CAP005W,ฝา แท่งลิบมัน LG02 ขาวทึบ 5ml,DEFAULT,,800
A-KILG03-Body005C,ตัวขวด LG03 แท่งลิบทรงแบน ใส 5ml,DEFAULT,,500
A-KILG03-Body005W,ตัวขวด LG03 แท่งลิบทรงแบน ขาว 5ml,DEFAULT,,500
A-KILG03-CAP005C,ฝา แท่งลิบมันทรงแบน LG03 ใส 5ml,DEFAULT,,800
A-KILG03-CAP005W,ฝา แท่งลิบมันทรงแบน LG03 ขาว 5ml,DEFAULT,,800
A-KILG03-CAPW-Walnut,ฝา แท่งลิบมันทรงแบน LG03 Walnut 5ml,DEFAULT,,800
A-KIRO-005C,ขวด RO ลูกกลิ้ง 5ml สีใส,DEFAULT,,500
A-KIRO-005W,ขวด RO ลูกกลิ้ง 5ml สีขาว,DEFAULT,,500
A-KIRO-010C,ขวด RO ลูกกลิ้ง 10ml สีใส,DEFAULT,,300
